choice id.cust week StoreID buyCH priceCH priceMM discountCH discountMM specialCH specialMM loyaltyCH loyaltyMM salepriceMM salepriceCH pricediff  store7 pctdiscMM pctdiscCH listpricediff store
CH	2125401	237	1	1	1.75	1.99	0	0	0	0	0.5	0.5	1.99	1.75	0.24	No	0	0	0.24	1
CH	2125401	239	1	1	1.75	1.99	0	0.3	0	1	0.6	0.4	1.69	1.75	-0.06	No	0.150754	0	0.24	1
CH	2125401	245	1	1	1.86	2.09	0.17	0	0	0	0.68	0.32	2.09	1.69	0.4	No	0	0.091398	0.23	1
MM	2125849	227	1	0	1.69	1.69	0	0	0	0	0.4	0.6	1.69	1.69	0	No	0	0	0	1
CH	2126904	228	7	1	1.69	1.69	0	0	0	0	0.956535	0.043465	1.69	1.69	0	Yes	0	0	0	0
CH	2126904	230	7	1	1.69	1.99	0	0	0	1	0.965228	0.034772	1.99	1.69	0.3	Yes	0	0	0.3	0
CH	2126904	232	7	1	1.69	1.99	0	0.4	1	1	0.972182	0.027818	1.59	1.69	-0.1	Yes	0.201005	0	0.3	0
CH	2126904	234	7	1	1.75	1.99	0	0.4	1	0	0.977746	0.022254	1.59	1.75	-0.16	Yes	0.201005	0	0.24	0
CH	2126904	235	7	1	1.75	1.99	0	0.4	0	0	0.982197	0.017803	1.59	1.75	-0.16	Yes	0.201005	0	0.24	0
CH	2126904	238	7	1	1.75	1.99	0	0.4	0	0	0.985757	0.014243	1.59	1.75	-0.16	Yes	0.201005	0	0.24	0
CH	2126904	240	7	1	1.86	2.09	0	0	0	0	0.988606	0.011394	2.09	1.86	0.23	Yes	0	0	0.23	0
CH	2126904	263	7	1	1.86	2.13	0.27	0	0	0	0.990885	0.009115	2.13	1.59	0.54	Yes	0	0.145161	0.27	0
CH	2126904	276	7	1	1.99	2.13	0	0.54	0	1	0.992708	0.007292	1.59	1.99	-0.4	Yes	0.253521	0	0.14	0
CH	2127001	268	7	1	1.86	2.13	0	0	0	0	0.68	0.32	2.13	1.86	0.27	Yes	0	0	0.27	0
CH	2127001	278	7	1	2.06	2.13	0	0	0	0	0.744	0.256	2.13	2.06	0.07	Yes	0	0	0.07	0
CH	2127001	278	7	1	2.06	2.13	0	0	0	0	0.7952	0.2048	2.13	2.06	0.07	Yes	0	0	0.07	0
MM	2127019	240	1	0	1.75	1.99	0	0.3	0	1	0.5	0.5	1.69	1.75	-0.06	No	0.150754	0	0.24	1
